Metodo,Puntos,Tiempo(s),Pi,Aceleracion
Secuencial,100000,0.000351,3.1415927,N/A
CUDA,100000,0.000473,3.1415927,.74207188160676532769
Secuencial,1000000,0.002240,3.1415927,N/A
CUDA,1000000,0.002458,3.1415927,.91131000813669650122
Secuencial,10000000,0.020309,3.1415927,N/A
CUDA,10000000,0.018933,3.1415927,1.07267733586858923572
Secuencial,100000000,0.123240,3.1415927,N/A
CUDA,100000000,0.111946,3.1415927,1.10088792810819502260
Secuencial,1000000000,1.107630,3.1415927,N/A
CUDA,1000000000,1.091069,3.1415927,1.01517869172343820601
